	#code	score
173	3pww	7.96
174	3pxf	4.45
175	3pyy	6.41
176	3qgy	7.24
177	3qqs	4.87
178	3r88	4.37
179	3rlr	8.41
180	3rr4	5.7
181	3rsx	5.11
182	3ryj	7.99
183	3syr	6.22
184	3tsk	4.49
185	3twp	3.77
186	3u5j	6.34
187	3u8k	7.36
188	3u8n	10.19
189	3u9q	4.22
190	3udh	4.51
191	3ueu	5.55
192	3uev	6.42
193	3uew	5.71
194	3uex	6.97
195	3ui7	7.05
196	3uo4	7.15
197	3up2	7.39
198	3uri	9.01
199	3utu	10.16
200	3uuo	6.48
201	3wtj	5.23
202	3wz8	7.6
203	3zdg	6.74
204	3zso	4.8
205	3zsx	3.74
206	3zt2	3.46
207	4abg	4.84
208	4agn	3.47
209	4agp	5.07
210	4agq	5.16
211	4bkt	4.38
212	4cig	4.62
213	4ciw	4.07
214	4cr9	4.26
215	4cra	7.44
216	4crc	9.02
217	4ddh	4.62
218	4ddk	2.73
219	4de1	5.68
220	4de2	4.22
221	4de3	4.32
222	4djv	6.4
223	4dld	7.14
224	4dli	6.62
225	4e5w	7.53
226	4e6q	6.95
227	4ea2	6.04
228	4eky	4.79
229	4eo8	6.89
230	4eor	6.96
231	4f09	6.09
232	4f2w	10.14
233	4f3c	11.47
234	4f9w	6.95
235	4gfm	6.69
236	4gid	10.46
237	4gkm	5.3
238	4gr0	9.54
239	4hge	7.38
240	4ih5	4.37
241	4ih7	4.84
242	4ivb	8.18
243	4ivc	9.5
244	4ivd	8.8
245	4j21	6.21
246	4j28	6.37
247	4j3l	7.54
248	4jfs	6.23
249	4jia	8.29
250	4jsz	2.61
251	4jxs	5.08
252	4k18	8.21
253	4k77	5.75
254	4kz6	4.11
255	4kzq	5.27
256	4kzu	6.66
257	4llx	4.42
258	4lzs	5.38
259	4m0y	5.33
260	4m0z	6.69
261	4mgd	5.9
262	4mme	6.3
263	4ogj	6.41
264	4owm	3.4
265	4pcs	8.16
266	4qac	8.44
267	4qd6	7.3
268	4rfm	8.78
269	4tmn	10.21
270	4twp	9.21
271	4ty7	9.18
272	4u4s	5.7
273	4w9c	4.98
274	4w9h	5.19
275	4w9i	5.56
276	4w9l	5.31
277	4wiv	5.64
278	4x6p	9.3
279	5a7b	4.12
280	5aba	3.16
281	5c28	6.39
282	5c2h	8.26
283	5dwr	10.07
284	5tmn	9.01
