	#code	score
236	4gid	10.74
237	4gkm	5.99
238	4gr0	12.03
239	4hge	7.44
240	4ih5	4.34
241	4ih7	5.74
242	4ivb	8.81
243	4ivc	9.93
244	4ivd	9.72
245	4j21	6.73
246	4j28	7.25
247	4j3l	7.93
248	4jfs	6.75
249	4jia	7.96
250	4jsz	2.07
251	4jxs	5.08
252	4k18	9.48
253	4k77	6.28
254	4kz6	4.8
255	4kzq	5.47
256	4kzu	6.64
257	4llx	4.22
258	4lzs	5.76
259	4m0y	5.28
260	4m0z	6.84
261	4mgd	6.26
262	4mme	7.53
263	4ogj	6.45
264	4owm	3.55
265	4pcs	8.85
266	4qac	9.1
267	4qd6	7.36
268	4rfm	8.58
269	4tmn	10.42
270	4twp	9.7
271	4ty7	9.86
272	4u4s	6.92
273	4w9c	5.51
274	4w9h	6.6
275	4w9i	5.46
276	4w9l	6.48
277	4wiv	5.49
278	4x6p	8.85
279	5a7b	3.2
280	5aba	2.88
281	5c28	5.79
282	5c2h	8.83
283	5dwr	9.72
284	5tmn	8.97
