	#code	score
161	3nw9	8.63
162	3nx7	7.31
163	3o9i	10.84
164	3oe4	6.1
165	3oe5	6.57
166	3ozs	4.61
167	3ozt	5.22
168	3p5o	6.9
169	3prs	7.52
170	3pww	7.74
171	3pxf	4.96
172	3pyy	6.07
173	3qgy	6.61
174	3qqs	5.4
175	3r88	4.09
176	3rlr	7.74
177	3rr4	6.0
178	3rsx	5.36
179	3ryj	8.54
180	3syr	5.32
181	3tsk	6.74
182	3twp	3.92
183	3u5j	6.64
184	3u8k	6.64
185	3u8n	7.87
186	3u9q	4.79
187	3udh	4.78
188	3ueu	5.28
189	3uev	5.87
190	3uew	6.08
191	3uex	6.1
192	3ui7	6.34
193	3uo4	7.28
194	3up2	7.21
195	3uri	7.86
196	3utu	9.7
197	3uuo	5.87
198	3wtj	6.99
199	3wz8	6.77
200	3zdg	6.3
201	3zso	5.79
202	3zsx	4.84
203	3zt2	4.49
204	4abg	4.48
205	4agn	3.79
206	4agp	4.5
207	4agq	4.61
208	4bkt	4.53
209	4cig	5.14
210	4ciw	5.78
211	4cr9	4.93
212	4cra	7.7
213	4crc	8.34
214	4ddh	4.03
215	4ddk	4.45
216	4de1	5.33
217	4de2	4.91
218	4de3	4.52
219	4djv	7.35
220	4dld	5.36
221	4dli	6.41
222	4e5w	7.44
223	4e6q	6.15
224	4ea2	6.54
225	4eky	6.97
226	4eo8	6.43
227	4eor	8.27
228	4f09	6.12
229	4f2w	8.78
230	4f3c	10.18
231	4gfm	7.06
232	4gid	8.99
233	4gkm	5.74
234	4gr0	10.39
235	4hge	8.0
236	4ih5	4.87
237	4ih7	4.34
238	4ivb	7.32
239	4ivc	9.45
240	4ivd	8.24
241	4j21	6.92
242	4j28	5.64
243	4j3l	7.54
244	4jfs	5.07
245	4jia	6.55
246	4jsz	4.85
247	4jxs	4.9
248	4k18	7.8
249	4k77	5.86
250	4kz6	4.73
251	4kzq	6.19
252	4kzu	6.75
253	4llx	4.62
254	4lzs	5.11
255	4m0y	5.2
256	4m0z	6.26
257	4mgd	6.37
258	4mme	6.73
259	4ogj	6.17
260	4owm	4.48
261	4pcs	7.23
262	4qac	7.95
263	4qd6	6.99
264	4rfm	7.97
265	4tmn	7.55
266	4twp	8.14
267	4ty7	7.11
268	4u4s	5.75
269	4w9c	6.07
270	4w9h	6.57
271	4w9i	6.05
272	4w9l	6.7
273	4wiv	6.15
274	4x6p	8.67
275	5a7b	5.59
276	5aba	5.9
277	5c28	5.68
278	5c2h	7.3
279	5dwr	7.72
280	5tmn	7.1
