	#code	score
250	4kz6	4.7
251	4kzq	5.34
252	4kzu	6.66
253	4llx	3.96
254	4lzs	5.31
255	4m0y	4.94
256	4m0z	6.9
257	4mgd	6.33
258	4mme	6.8
259	4ogj	5.96
260	4owm	3.58
261	4pcs	8.57
262	4qac	7.71
263	4qd6	7.1
264	4rfm	8.57
265	4tmn	9.93
266	4twp	9.15
267	4ty7	8.41
268	4u4s	5.87
269	4w9c	5.72
270	4w9h	6.12
271	4w9i	5.64
272	4w9l	6.45
273	4wiv	5.86
274	4x6p	9.52
275	5a7b	4.79
276	5aba	3.37
277	5c28	5.46
278	5c2h	7.73
279	5dwr	8.13
280	5tmn	9.06
