	#code	score
210	4ciw	4.78
211	4cr9	4.15
212	4cra	7.35
213	4crc	8.98
214	4ddh	5.04
215	4ddk	3.01
216	4de1	5.7
217	4de2	4.19
218	4de3	4.63
219	4djv	6.45
220	4dld	6.3
221	4dli	6.39
222	4e5w	7.81
223	4e6q	6.97
224	4ea2	6.44
225	4eky	5.51
226	4eo8	7.11
227	4eor	6.98
228	4f09	6.24
229	4f2w	10.39
230	4f3c	11.57
231	4gfm	6.84
232	4gid	10.47
233	4gkm	5.65
234	4gr0	9.8
235	4hge	6.83
236	4ih5	4.24
237	4ih7	5.19
238	4ivb	8.42
239	4ivc	9.65
240	4ivd	9.39
241	4j21	6.45
242	4j28	6.48
243	4j3l	7.86
244	4jfs	6.07
245	4jia	7.81
246	4jsz	2.66
247	4jxs	4.9
248	4k18	8.44
249	4k77	6.03
250	4kz6	4.38
251	4kzq	5.23
252	4kzu	6.86
253	4llx	4.35
254	4lzs	5.6
255	4m0y	5.34
256	4m0z	6.45
257	4mgd	5.82
258	4mme	6.31
259	4ogj	6.29
260	4owm	3.35
261	4pcs	8.29
262	4qac	8.48
263	4qd6	7.47
264	4rfm	9.11
265	4tmn	10.7
266	4twp	9.39
267	4ty7	9.37
268	4u4s	5.56
269	4w9c	5.21
270	4w9h	5.6
271	4w9i	5.28
272	4w9l	5.46
273	4wiv	5.7
274	4x6p	9.03
275	5a7b	4.46
276	5aba	3.38
277	5c28	6.02
278	5c2h	8.65
279	5dwr	9.9
280	5tmn	9.04
