     code  logKa  score
110  3e93   8.85   8.17
111  4owm   2.96   3.75
112  3twp   3.92   3.70
113  3r88   4.82   4.54
114  4gkm   5.17   5.41
115  3qqs   5.82   5.01
116  3gv9   2.12   4.54
117  3gr2   2.52   4.03
118  4kz6   3.10   4.75
119  4jxs   4.74   6.12
120  2r9w   5.10   5.33
121  2hb1   3.80   5.14
122  1bzc   4.92   4.87
123  2qbr   6.33   6.68
124  2qbq   7.44   6.05
125  2qbp   8.40   6.69
126  1q8t   4.76   5.43
127  1ydr   5.52   6.26
128  1q8u   5.96   6.76
129  1ydt   7.32   6.41
130  3ag9   8.05   7.17
131  3fcq   2.77   5.63
132  1z9g   5.64   5.85
133  1qf1   7.32   6.88
134  5tmn   8.04   5.57
135  4tmn  10.17   5.90
136  4ddk   2.29   4.18
137  4ddh   3.32   4.90
138  3ivg   4.30   6.25
139  3coz   5.57   6.22
140  3coy   6.02   6.88
141  3pxf   4.43   4.94
142  4eor   6.30   8.10
143  2xnb   6.83   6.45
144  1pxn   7.15   5.74
145  2fvd   8.52   7.11
146  4k77   6.63   5.88
147  4e5w   7.66   7.80
148  4ivb   8.72   7.24
149  4ivd   9.52   7.86
150  4ivc  10.00   8.35
151  4f09   6.70   6.04
152  4gfm   7.22   7.19
153  4hge   7.92   6.85
154  4e6q   8.36   6.59
155  4jia   9.22   6.21
156  2brb   4.86   6.72
157  2br1   5.14   6.76
158  3jvr   5.72   6.52
159  3jvs   6.54   5.60
160  1nvq   8.25   7.71
161  3acw   4.76   6.04
162  4ea2   6.44   6.72
163  2zcr   6.87   7.14
164  2zy1   7.40   6.12
165  2zcq   8.82   7.15
166  1bcu   3.28   4.11
167  3bv9   5.36   7.10
168  1oyt   7.24   7.09
169  2zda   8.40   6.80
170  3utu  10.92  10.22
171  3u9q   4.38   5.00
172  2yfe   6.63   6.41
173  3fur   8.00   8.82
174  3b1m   8.48   8.00
175  2p4y   9.00   7.68
176  3uo4   6.52   6.70
177  3up2   7.40   6.31
178  3e5a   8.23   7.36
179  2wtv   8.74   7.48
180  3myg  10.70   6.61
181  3kgp   2.57   2.59
182  1c5z   4.01   4.62
183  1o5b   5.77   6.15
184  1owh   7.40   6.27
185  1sqa   9.21   6.75
186  4jsz   2.30   6.02
187  3kwa   4.08   4.10
188  2weg   6.50   7.03
189  3ryj   7.80   7.70
190  3dd0   9.00   8.89
191  2xdl   3.10   5.33
192  3b27   5.16   6.55
193  1yc1   6.17   7.17
194  3rlr   7.52   7.79
195  2yki   9.46   9.66
196  1z95   7.12   9.27
197  3b68   8.40   8.41
198  3b5r   8.77   9.20
199  3b65   9.27   8.55
200  3g0w   9.52   8.54
201  4u4s   2.92   5.60
202  1p1q   4.89   6.12
203  1syi   5.44   7.22
204  1p1n   6.80   6.85
205  2al5   8.40   6.50
206  3g2z   2.36   3.46
207  3g31   2.89   4.60
208  4de2   4.12   4.80
209  4de3   5.52   3.51
210  4de1   5.96   4.81
211  1vso   4.72   5.77
212  4dld   5.82   6.81
213  3gbb   6.90   6.97
214  3fv2   8.11   7.90
215  3fv1   9.30   8.99
216  4mgd   4.69   6.30
217  2qe4   7.96   6.37
218  1qkt   9.04   6.09
219  2pog   9.54   6.08
220  2p15  10.30   7.95
221  2y5h   5.79   7.24
222  1lpg   7.09   8.59
223  2xbv   8.43   8.73
224  1z6e   9.72   9.66
225  1mq6  11.15   8.63
226  1nc3   5.00   8.12
227  1nc1   6.12   7.61
228  1y6r  10.11   8.71
229  4f2w  11.30   8.78
230  4f3c  11.82  10.09
231  1uto   2.27   3.52
232  4abg   3.57   4.12
233  3gy4   5.10   3.85
234  1k1i   6.58   7.13
235  1o3f   7.96   6.23
236  2yge   5.06   5.06
237  2fxs   6.06   5.72
238  2iwx   6.68   6.86
239  2wer   7.05   5.85
240  2vw5   8.52   6.56
241  4kzq   6.10   5.94
242  4kzu   6.50   6.76
243  4j21   7.41   6.94
244  4j3l   7.80   7.62
245  3kr8   8.10   7.51
246  2ymd   3.16   6.01
247  2wnc   6.32   6.73
248  2xys   7.42   6.86
249  2wn9   8.52   5.74
250  2x00  11.33   7.88
251  3ozt   4.13   7.00
252  3ozs   5.33   6.98
253  3oe5   6.88   7.60
254  3oe4   7.47   7.65
255  3nw9   9.00   8.73
256  3ao4   2.07   4.67
257  3zt2   2.84   4.65
258  3zsx   3.28   4.73
259  4cig   3.67   5.36
260  3zso   5.12   5.82
261  3n7a   3.70   5.46
262  4ciw   4.82   5.47
263  3n86   5.64   6.79
264  3n76   6.85   5.80
265  2xb8   7.59   6.52
266  4bkt   3.62   5.03
267  4w9c   4.65   6.17
268  4w9l   5.02   7.11
269  4w9i   5.96   6.02
270  4w9h   6.73   6.31
271  3nq9   4.03   3.95
272  3ueu   5.24   5.11
273  3uev   5.89   6.06
274  3uew   6.31   6.32
275  3uex   6.92   6.17
276  3lka   2.82   5.58
277  3ehy   5.85   6.59
278  3tsk   7.17   5.29
279  3nx7   8.10   6.73
280  4gr0   9.55   9.32
281  3dxg   2.40   4.39
282  3d6q   3.76   4.63
283  1w4o   5.22   4.67
284  1o0h   5.92   4.99
285  1u1b   7.80   5.99

Summary of the scoring power: ===================================
The regression equation: logKa = 1.15 + -1.02 * Score
Number of favorable sample (N) = 285
Pearson correlation coefficient (R) = 0.734
Standard deviation in fitting (SD) = 1.48
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("SF4_soft_cutoffs_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,285,2);
for(i in 1:285);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("SF4_soft_cutoffs-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
