     code  logKa  score
103  1r5y   6.46   6.82
104  3gc5   7.26   7.96
105  3ge7   8.70   7.47
106  4dli   5.62   5.96
107  2zb1   6.32   7.44
108  4f9w   6.94   6.23
109  3e92   8.00   7.36
110  3e93   8.85   8.18
111  4owm   2.96   3.77
112  3twp   3.92   3.66
113  3r88   4.82   4.21
114  4gkm   5.17   5.69
115  3qqs   5.82   5.24
116  3gv9   2.12   4.45
117  3gr2   2.52   4.63
118  4kz6   3.10   5.51
119  4jxs   4.74   8.07
120  2r9w   5.10   5.08
121  2hb1   3.80   5.60
122  1bzc   4.92   5.70
123  2qbr   6.33   6.33
124  2qbq   7.44   6.32
125  2qbp   8.40   7.00
126  1q8t   4.76   5.35
127  1ydr   5.52   6.11
128  1q8u   5.96   6.54
129  1ydt   7.32   7.03
130  3ag9   8.05   7.27
131  3fcq   2.77   5.65
132  1z9g   5.64   6.66
133  1qf1   7.32   7.58
134  5tmn   8.04   6.89
135  4tmn  10.17   7.65
136  4ddk   2.29   4.04
137  4ddh   3.32   5.55
138  3ivg   4.30   6.17
139  3coz   5.57   6.21
140  3coy   6.02   6.45
141  3pxf   4.43   5.21
142  4eor   6.30   8.08
143  2xnb   6.83   6.30
144  1pxn   7.15   6.04
145  2fvd   8.52   7.44
146  4k77   6.63   5.93
147  4e5w   7.66   7.71
148  4ivb   8.72   7.44
149  4ivd   9.52   8.43
150  4ivc  10.00   8.45
151  4f09   6.70   5.99
152  4gfm   7.22   6.97
153  4hge   7.92   7.46
154  4e6q   8.36   6.74
155  4jia   9.22   6.67
156  2brb   4.86   6.84
157  2br1   5.14   6.80
158  3jvr   5.72   7.19
159  3jvs   6.54   6.90
160  1nvq   8.25   7.75
161  3acw   4.76   6.29
162  4ea2   6.44   6.26
163  2zcr   6.87   6.85
164  2zy1   7.40   5.87
165  2zcq   8.82   7.33
166  1bcu   3.28   3.60
167  3bv9   5.36   7.19
168  1oyt   7.24   7.25
169  2zda   8.40   6.73
170  3utu  10.92  11.82
171  3u9q   4.38   4.89
172  2yfe   6.63   6.47
173  3fur   8.00   9.30
174  3b1m   8.48   8.43
175  2p4y   9.00   7.96
176  3uo4   6.52   6.40
177  3up2   7.40   6.14
178  3e5a   8.23   7.27
179  2wtv   8.74   7.78
180  3myg  10.70   6.53
181  3kgp   2.57   3.26
182  1c5z   4.01   4.81
183  1o5b   5.77   6.37
184  1owh   7.40   6.48
185  1sqa   9.21   7.16
186  4jsz   2.30   6.29
187  3kwa   4.08   3.15
188  2weg   6.50   6.57
189  3ryj   7.80   7.82
190  3dd0   9.00   8.73
191  2xdl   3.10   5.02
192  3b27   5.16   6.47
193  1yc1   6.17   7.21
194  3rlr   7.52   8.88
195  2yki   9.46   9.27
196  1z95   7.12   9.49
197  3b68   8.40   9.47
198  3b5r   8.77  10.15
199  3b65   9.27   9.58
200  3g0w   9.52   9.81
201  4u4s   2.92   5.61
202  1p1q   4.89   5.52
203  1syi   5.44   7.43
204  1p1n   6.80   7.08
205  2al5   8.40   5.82
206  3g2z   2.36   3.25
207  3g31   2.89   4.84
208  4de2   4.12   4.89
209  4de3   5.52   4.59
210  4de1   5.96   4.76
211  1vso   4.72   5.69
212  4dld   5.82   5.68
213  3gbb   6.90   7.77
214  3fv2   8.11   7.20
215  3fv1   9.30   8.50
216  4mgd   4.69   6.50
217  2qe4   7.96   6.54
218  1qkt   9.04   5.79
219  2pog   9.54   6.04
220  2p15  10.30   8.14
221  2y5h   5.79   7.25
222  1lpg   7.09   9.27
223  2xbv   8.43   7.44
224  1z6e   9.72   9.26
225  1mq6  11.15   7.80
226  1nc3   5.00   7.49
227  1nc1   6.12   7.13
228  1y6r  10.11   8.35
229  4f2w  11.30   8.21
230  4f3c  11.82   9.68
231  1uto   2.27   3.50
232  4abg   3.57   3.96
233  3gy4   5.10   3.89
234  1k1i   6.58   7.72
235  1o3f   7.96   6.92
236  2yge   5.06   5.44
237  2fxs   6.06   5.53
238  2iwx   6.68   6.64
239  2wer   7.05   5.60
240  2vw5   8.52   6.66
241  4kzq   6.10   6.39
242  4kzu   6.50   6.92
243  4j21   7.41   7.21
244  4j3l   7.80   7.68
245  3kr8   8.10   7.73
246  2ymd   3.16   5.68
247  2wnc   6.32   6.90
248  2xys   7.42   6.81
249  2wn9   8.52   5.91
250  2x00  11.33   7.85
251  3ozt   4.13   5.63
252  3ozs   5.33   5.64
253  3oe5   6.88   6.07
254  3oe4   7.47   6.59
255  3nw9   9.00   8.76
256  3ao4   2.07   5.49
257  3zt2   2.84   4.62
258  3zsx   3.28   5.44
259  4cig   3.67   5.87
260  3zso   5.12   6.58
261  3n7a   3.70   5.77
262  4ciw   4.82   5.69
263  3n86   5.64   6.97
264  3n76   6.85   6.31
265  2xb8   7.59   7.49
266  4bkt   3.62   5.22
267  4w9c   4.65   6.23
268  4w9l   5.02   7.05
269  4w9i   5.96   6.25
270  4w9h   6.73   6.57
271  3nq9   4.03   4.57
272  3ueu   5.24   5.50
273  3uev   5.89   6.19
274  3uew   6.31   6.07
275  3uex   6.92   6.21
276  3lka   2.82   5.71
277  3ehy   5.85   7.05
278  3tsk   7.17   6.21
279  3nx7   8.10   6.95
280  4gr0   9.55   9.70
281  3dxg   2.40   4.64
282  3d6q   3.76   4.65
283  1w4o   5.22   4.55
284  1o0h   5.92   5.74
285  1u1b   7.80   6.82

Summary of the scoring power: ===================================
The regression equation: logKa = 1.04 + -0.44 * Score
Number of favorable sample (N) = 285
Pearson correlation coefficient (R) = 0.686
Standard deviation in fitting (SD) = 1.58
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("SF_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,285,2);
for(i in 1:285);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("SF-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
