     code  logKa  score
92   3rsx   4.41   5.99
93   4djv   6.72   7.31
94   2vkm   8.74   8.96
95   4gid  10.77   8.70
96   4jfs   5.27   6.09
97   4j28   5.70   5.77
98   2wvt   6.12   6.12
99   2xii   7.20   9.10
100  4pcs   7.85   7.77
101  3rr4   4.55   6.21
102  1s38   5.15   6.29
103  1r5y   6.46   5.85
104  3gc5   7.26   7.67
105  3ge7   8.70   7.77
106  4dli   5.62   6.23
107  2zb1   6.32   7.03
108  4f9w   6.94   6.35
109  3e92   8.00   7.31
110  3e93   8.85   8.03
111  4owm   2.96   4.15
112  3twp   3.92   4.02
113  3r88   4.82   4.64
114  4gkm   5.17   5.45
115  3qqs   5.82   5.56
116  3gv9   2.12   4.24
117  3gr2   2.52   4.76
118  4kz6   3.10   4.83
119  4jxs   4.74   5.30
120  2r9w   5.10   5.18
121  2hb1   3.80   5.64
122  1bzc   4.92   5.19
123  2qbr   6.33   6.52
124  2qbq   7.44   6.65
125  2qbp   8.40   7.31
126  1q8t   4.76   5.41
127  1ydr   5.52   6.34
128  1q8u   5.96   6.44
129  1ydt   7.32   7.38
130  3ag9   8.05   7.15
131  3fcq   2.77   5.63
132  1z9g   5.64   5.69
133  1qf1   7.32   7.35
134  5tmn   8.04   6.13
135  4tmn  10.17   6.69
136  4ddk   2.29   4.87
137  4ddh   3.32   5.24
138  3ivg   4.30   6.27
139  3coz   5.57   6.09
140  3coy   6.02   6.37
141  3pxf   4.43   5.66
142  4eor   6.30   8.28
143  2xnb   6.83   6.67
144  1pxn   7.15   5.66
145  2fvd   8.52   7.13
146  4k77   6.63   5.93
147  4e5w   7.66   6.51
148  4ivb   8.72   7.20
149  4ivd   9.52   7.77
150  4ivc  10.00   7.72
151  4f09   6.70   5.89
152  4gfm   7.22   6.34
153  4hge   7.92   7.42
154  4e6q   8.36   6.25
155  4jia   9.22   6.45
156  2brb   4.86   6.45
157  2br1   5.14   6.45
158  3jvr   5.72   7.08
159  3jvs   6.54   5.35
160  1nvq   8.25   7.14
161  3acw   4.76   6.53
162  4ea2   6.44   6.29
163  2zcr   6.87   6.92
164  2zy1   7.40   5.25
165  2zcq   8.82   6.20
166  1bcu   3.28   4.59
167  3bv9   5.36   6.62
168  1oyt   7.24   7.22
169  2zda   8.40   6.78
170  3utu  10.92   9.30
171  3u9q   4.38   5.12
172  2yfe   6.63   6.20
173  3fur   8.00   8.13
174  3b1m   8.48   8.53
175  2p4y   9.00   8.01
176  3uo4   6.52   7.11
177  3up2   7.40   6.69
178  3e5a   8.23   6.97
179  2wtv   8.74   6.96
180  3myg  10.70   6.35
181  3kgp   2.57   3.47
182  1c5z   4.01   4.84
183  1o5b   5.77   6.93
184  1owh   7.40   5.65
185  1sqa   9.21   6.48
186  4jsz   2.30   5.71
187  3kwa   4.08   4.38
188  2weg   6.50   7.03
189  3ryj   7.80   8.17
190  3dd0   9.00   9.30
191  2xdl   3.10   5.27
192  3b27   5.16   6.10
193  1yc1   6.17   6.17
194  3rlr   7.52   7.18
195  2yki   9.46   8.81
196  1z95   7.12   9.73
197  3b68   8.40   9.23
198  3b5r   8.77   9.74
199  3b65   9.27   7.73
200  3g0w   9.52   8.92
201  4u4s   2.92   6.11
202  1p1q   4.89   6.09
203  1syi   5.44   6.64
204  1p1n   6.80   6.75
205  2al5   8.40   6.23
206  3g2z   2.36   4.42
207  3g31   2.89   4.37
208  4de2   4.12   4.91
209  4de3   5.52   4.25
210  4de1   5.96   5.35
211  1vso   4.72   6.13
212  4dld   5.82   6.76
213  3gbb   6.90   7.65
214  3fv2   8.11   7.74
215  3fv1   9.30   8.44
216  4mgd   4.69   6.35
217  2qe4   7.96   6.63
218  1qkt   9.04   5.93
219  2pog   9.54   6.41
220  2p15  10.30   7.82
221  2y5h   5.79   6.78
222  1lpg   7.09   8.92
223  2xbv   8.43   9.25
224  1z6e   9.72   8.09
225  1mq6  11.15   8.94
226  1nc3   5.00   7.88
227  1nc1   6.12   8.33
228  1y6r  10.11   9.04
229  4f2w  11.30   8.87
230  4f3c  11.82  10.11
231  1uto   2.27   4.04
232  4abg   3.57   4.05
233  3gy4   5.10   4.26
234  1k1i   6.58   6.18
235  1o3f   7.96   6.15
236  2yge   5.06   5.06
237  2fxs   6.06   5.68
238  2iwx   6.68   6.84
239  2wer   7.05   6.17
240  2vw5   8.52   5.79
241  4kzq   6.10   6.34
242  4kzu   6.50   6.54
243  4j21   7.41   7.28
244  4j3l   7.80   7.87
245  3kr8   8.10   7.10
246  2ymd   3.16   5.71
247  2wnc   6.32   6.62
248  2xys   7.42   6.84
249  2wn9   8.52   5.88
250  2x00  11.33   7.76
251  3ozt   4.13   4.94
252  3ozs   5.33   5.05
253  3oe5   6.88   6.12
254  3oe4   7.47   5.49
255  3nw9   9.00   7.52
256  3ao4   2.07   5.41
257  3zt2   2.84   5.36
258  3zsx   3.28   5.60
259  4cig   3.67   5.96
260  3zso   5.12   6.29
261  3n7a   3.70   5.55
262  4ciw   4.82   5.19
263  3n86   5.64   7.36
264  3n76   6.85   6.75
265  2xb8   7.59   6.73
266  4bkt   3.62   4.78
267  4w9c   4.65   6.01
268  4w9l   5.02   6.09
269  4w9i   5.96   6.08
270  4w9h   6.73   6.48
271  3nq9   4.03   4.54
272  3ueu   5.24   5.48
273  3uev   5.89   6.04
274  3uew   6.31   6.22
275  3uex   6.92   6.23
276  3lka   2.82   5.43
277  3ehy   5.85   6.48
278  3tsk   7.17   6.58
279  3nx7   8.10   7.64
280  4gr0   9.55   9.72
281  3dxg   2.40   4.21
282  3d6q   3.76   4.90
283  1w4o   5.22   4.07
284  1o0h   5.92   4.73
285  1u1b   7.80   5.77

Summary of the scoring power: ===================================
The regression equation: logKa = 1.15 + -0.99 * Score
Number of favorable sample (N) = 285
Pearson correlation coefficient (R) = 0.706
Standard deviation in fitting (SD) = 1.54
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("SF1_soft_cutoffs_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,285,2);
for(i in 1:285);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("SF1_soft_cutoffs-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
