     code  logKa  score
100  4pcs   7.85   6.89
101  3rr4   4.55   6.36
102  1s38   5.15   6.58
103  1r5y   6.46   6.62
104  3gc5   7.26   7.22
105  3ge7   8.70   7.64
106  4dli   5.62   6.08
107  2zb1   6.32   7.21
108  4f9w   6.94   6.48
109  3e92   8.00   7.42
110  3e93   8.85   7.97
111  4owm   2.96   3.77
112  3twp   3.92   3.70
113  3r88   4.82   4.34
114  4gkm   5.17   5.31
115  3qqs   5.82   5.16
116  3gv9   2.12   4.45
117  3gr2   2.52   4.34
118  4kz6   3.10   5.22
119  4jxs   4.74   6.86
120  2r9w   5.10   4.91
121  2hb1   3.80   5.47
122  1bzc   4.92   5.43
123  2qbr   6.33   6.51
124  2qbq   7.44   6.05
125  2qbp   8.40   6.71
126  1q8t   4.76   5.44
127  1ydr   5.52   6.02
128  1q8u   5.96   6.28
129  1ydt   7.32   6.84
130  3ag9   8.05   7.10
131  3fcq   2.77   5.44
132  1z9g   5.64   6.03
133  1qf1   7.32   7.25
134  5tmn   8.04   6.38
135  4tmn  10.17   7.33
136  4ddk   2.29   4.17
137  4ddh   3.32   5.24
138  3ivg   4.30   6.18
139  3coz   5.57   5.77
140  3coy   6.02   6.35
141  3pxf   4.43   5.10
142  4eor   6.30   7.95
143  2xnb   6.83   6.31
144  1pxn   7.15   5.84
145  2fvd   8.52   7.25
146  4k77   6.63   5.87
147  4e5w   7.66   7.47
148  4ivb   8.72   6.83
149  4ivd   9.52   7.94
150  4ivc  10.00   7.60
151  4f09   6.70   5.82
152  4gfm   7.22   6.64
153  4hge   7.92   6.82
154  4e6q   8.36   6.37
155  4jia   9.22   6.28
156  2brb   4.86   6.53
157  2br1   5.14   6.73
158  3jvr   5.72   6.73
159  3jvs   6.54   6.03
160  1nvq   8.25   7.25
161  3acw   4.76   5.96
162  4ea2   6.44   6.40
163  2zcr   6.87   6.96
164  2zy1   7.40   5.96
165  2zcq   8.82   7.12
166  1bcu   3.28   3.80
167  3bv9   5.36   6.59
168  1oyt   7.24   7.16
169  2zda   8.40   6.82
170  3utu  10.92  10.35
171  3u9q   4.38   4.82
172  2yfe   6.63   6.34
173  3fur   8.00   8.91
174  3b1m   8.48   8.29
175  2p4y   9.00   7.79
176  3uo4   6.52   6.41
177  3up2   7.40   6.11
178  3e5a   8.23   7.44
179  2wtv   8.74   7.51
180  3myg  10.70   6.37
181  3kgp   2.57   2.86
182  1c5z   4.01   4.18
183  1o5b   5.77   5.82
184  1owh   7.40   5.97
185  1sqa   9.21   6.18
186  4jsz   2.30   5.73
187  3kwa   4.08   3.49
188  2weg   6.50   6.82
189  3ryj   7.80   7.68
190  3dd0   9.00   8.41
191  2xdl   3.10   5.24
192  3b27   5.16   6.14
193  1yc1   6.17   6.71
194  3rlr   7.52   7.83
195  2yki   9.46   8.87
196  1z95   7.12   9.19
197  3b68   8.40   9.01
198  3b5r   8.77   9.29
199  3b65   9.27   8.27
200  3g0w   9.52   8.78
201  4u4s   2.92   5.60
202  1p1q   4.89   5.92
203  1syi   5.44   7.16
204  1p1n   6.80   6.35
205  2al5   8.40   5.64
206  3g2z   2.36   3.44
207  3g31   2.89   4.75
208  4de2   4.12   4.64
209  4de3   5.52   3.49
210  4de1   5.96   4.59
211  1vso   4.72   5.99
212  4dld   5.82   5.93
213  3gbb   6.90   7.47
214  3fv2   8.11   7.63
215  3fv1   9.30   8.42
216  4mgd   4.69   6.40
217  2qe4   7.96   6.39
218  1qkt   9.04   5.88
219  2pog   9.54   6.11
220  2p15  10.30   8.02
221  2y5h   5.79   7.03
222  1lpg   7.09   8.50
223  2xbv   8.43   7.71
224  1z6e   9.72   8.67
225  1mq6  11.15   8.20
226  1nc3   5.00   7.35
227  1nc1   6.12   7.40
228  1y6r  10.11   8.19
229  4f2w  11.30   8.48
230  4f3c  11.82   9.75
231  1uto   2.27   3.48
232  4abg   3.57   3.81
233  3gy4   5.10   3.66
234  1k1i   6.58   6.78
235  1o3f   7.96   6.42
236  2yge   5.06   5.63
237  2fxs   6.06   5.72
238  2iwx   6.68   6.43
239  2wer   7.05   5.85
240  2vw5   8.52   6.94
241  4kzq   6.10   6.10
242  4kzu   6.50   6.73
243  4j21   7.41   7.08
244  4j3l   7.80   7.77
245  3kr8   8.10   7.27
246  2ymd   3.16   5.72
247  2wnc   6.32   6.80
248  2xys   7.42   6.78
249  2wn9   8.52   5.50
250  2x00  11.33   7.80
251  3ozt   4.13   6.09
252  3ozs   5.33   5.80
253  3oe5   6.88   6.71
254  3oe4   7.47   6.84
255  3nw9   9.00   8.51
256  3ao4   2.07   4.94
257  3zt2   2.84   4.48
258  3zsx   3.28   5.10
259  4cig   3.67   5.71
260  3zso   5.12   6.24
261  3n7a   3.70   5.48
262  4ciw   4.82   5.66
263  3n86   5.64   7.22
264  3n76   6.85   6.33
265  2xb8   7.59   7.11
266  4bkt   3.62   4.87
267  4w9c   4.65   5.97
268  4w9l   5.02   6.73
269  4w9i   5.96   6.04
270  4w9h   6.73   6.32
271  3nq9   4.03   4.34
272  3ueu   5.24   5.44
273  3uev   5.89   6.07
274  3uew   6.31   6.15
275  3uex   6.92   6.23
276  3lka   2.82   5.80
277  3ehy   5.85   6.66
278  3tsk   7.17   5.88
279  3nx7   8.10   6.64
280  4gr0   9.55   9.51
281  3dxg   2.40   4.31
282  3d6q   3.76   4.51
283  1w4o   5.22   4.33
284  1o0h   5.92   5.25
285  1u1b   7.80   6.42

Summary of the scoring power: ===================================
The regression equation: logKa = 1.22 + -1.38 * Score
Number of favorable sample (N) = 285
Pearson correlation coefficient (R) = 0.743
Standard deviation in fitting (SD) = 1.45
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("SF3_soft_cutoffs_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,285,2);
for(i in 1:285);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("SF3_soft_cutoffs-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
