     code  logKa  score
279  3nx7   8.10   7.56
280  4gr0   9.55   9.82
281  3dxg   2.40   4.31
282  3d6q   3.76   5.03
283  1w4o   5.22   3.96
284  1o0h   5.92   4.81
285  1u1b   7.80   5.87

Summary of the scoring power: ===================================
The regression equation: logKa = 1.09 + -0.72 * Score
Number of favorable sample (N) = 285
Pearson correlation coefficient (R) = 0.698
Standard deviation in fitting (SD) = 1.56
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("SF_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,285,2);
for(i in 1:285);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("SF-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
