     code  logKa  score
141  3pxf   4.43   5.34
142  4eor   6.30   8.28
143  2xnb   6.83   6.09
144  1pxn   7.15   5.77
145  2fvd   8.52   6.78
146  4k77   6.63   5.88
147  4e5w   7.66   7.93
148  4ivb   8.72   6.95
149  4ivd   9.52   8.28
150  4ivc  10.00   8.24
151  4f09   6.70   5.90
152  4gfm   7.22   6.67
153  4hge   7.92   7.66
154  4e6q   8.36   6.45
155  4jia   9.22   6.64
156  2brb   4.86   6.27
157  2br1   5.14   6.76
158  3jvr   5.72   6.57
159  3jvs   6.54   5.33
160  1nvq   8.25   7.09
161  3acw   4.76   6.24
162  4ea2   6.44   6.41
163  2zcr   6.87   6.81
164  2zy1   7.40   5.05
165  2zcq   8.82   6.95
166  1bcu   3.28   3.99
167  3bv9   5.36   7.09
168  1oyt   7.24   6.78
169  2zda   8.40   7.04
170  3utu  10.92  10.83
171  3u9q   4.38   4.23
172  2yfe   6.63   6.04
173  3fur   8.00   9.16
174  3b1m   8.48   8.71
175  2p4y   9.00   7.44
176  3uo4   6.52   6.29
177  3up2   7.40   6.08
178  3e5a   8.23   7.47
179  2wtv   8.74   7.02
180  3myg  10.70   6.32
181  3kgp   2.57   3.32
182  1c5z   4.01   4.32
183  1o5b   5.77   5.76
184  1owh   7.40   6.01
185  1sqa   9.21   5.52
186  4jsz   2.30   5.58
187  3kwa   4.08   4.75
188  2weg   6.50   7.58
189  3ryj   7.80   8.72
190  3dd0   9.00   9.60
191  2xdl   3.10   5.71
192  3b27   5.16   5.88
193  1yc1   6.17   6.97
194  3rlr   7.52   7.48
195  2yki   9.46   9.16
196  1z95   7.12   9.11
197  3b68   8.40  10.24
198  3b5r   8.77   9.25
199  3b65   9.27   7.66
200  3g0w   9.52   8.77
201  4u4s   2.92   6.64
202  1p1q   4.89   6.10
203  1syi   5.44   7.13
204  1p1n   6.80   7.38
205  2al5   8.40   6.15
206  3g2z   2.36   3.87
207  3g31   2.89   4.85
208  4de2   4.12   4.58
209  4de3   5.52   3.82
210  4de1   5.96   4.75
211  1vso   4.72   5.27
212  4dld   5.82   5.98
213  3gbb   6.90   7.85
214  3fv2   8.11   8.35
215  3fv1   9.30   8.92
216  4mgd   4.69   6.09
217  2qe4   7.96   5.85
218  1qkt   9.04   5.64
219  2pog   9.54   5.31
220  2p15  10.30   7.90
221  2y5h   5.79   7.50
222  1lpg   7.09   9.11
223  2xbv   8.43   7.67
224  1z6e   9.72  10.16
225  1mq6  11.15   8.69
226  1nc3   5.00   7.30
227  1nc1   6.12   8.10
228  1y6r  10.11   8.82
229  4f2w  11.30   9.03
230  4f3c  11.82   9.57
231  1uto   2.27   4.20
232  4abg   3.57   4.62
233  3gy4   5.10   4.23
234  1k1i   6.58   6.37
235  1o3f   7.96   5.88
236  2yge   5.06   5.60
237  2fxs   6.06   5.44
238  2iwx   6.68   6.78
239  2wer   7.05   6.29
240  2vw5   8.52   6.32
241  4kzq   6.10   5.60
242  4kzu   6.50   6.26
243  4j21   7.41   6.78
244  4j3l   7.80   7.00
245  3kr8   8.10   6.72
246  2ymd   3.16   5.60
247  2wnc   6.32   6.92
248  2xys   7.42   6.69
249  2wn9   8.52   5.53
250  2x00  11.33   7.08
251  3ozt   4.13   6.43
252  3ozs   5.33   6.61
253  3oe5   6.88   7.03
254  3oe4   7.47   7.18
255  3nw9   9.00   8.86
256  3ao4   2.07   4.06
257  3zt2   2.84   4.81
258  3zsx   3.28   4.89
259  4cig   3.67   5.68
260  3zso   5.12   5.77
261  3n7a   3.70   5.60
262  4ciw   4.82   5.60
263  3n86   5.64   6.66
264  3n76   6.85   5.88
265  2xb8   7.59   6.56
266  4bkt   3.62   4.92
267  4w9c   4.65   6.05
268  4w9l   5.02   6.57
269  4w9i   5.96   6.05
270  4w9h   6.73   6.67
271  3nq9   4.03   4.26
272  3ueu   5.24   4.92
273  3uev   5.89   5.52
274  3uew   6.31   6.08
275  3uex   6.92   6.06
276  3lka   2.82   4.62
277  3ehy   5.85   5.77
278  3tsk   7.17   5.91
279  3nx7   8.10   7.20
280  4gr0   9.55   9.85
281  3dxg   2.40   4.06
282  3d6q   3.76   4.54
283  1w4o   5.22   4.34
284  1o0h   5.92   4.55
285  1u1b   7.80   6.11

Summary of the scoring power: ===================================
The regression equation: logKa = 1.07 + -0.44 * Score
Number of favorable sample (N) = 285
Pearson correlation coefficient (R) = 0.697
Standard deviation in fitting (SD) = 1.56
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("SF2_soft_cutoffs_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,285,2);
for(i in 1:285);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("SF2_soft_cutoffs-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
