     code  logKa  score
206  3g2z   2.36   3.90
207  3g31   2.89   4.97
208  4de2   4.12   4.67
209  4de3   5.52   3.96
210  4de1   5.96   4.64
211  1vso   4.72   5.41
212  4dld   5.82   6.40
213  3gbb   6.90   7.82
214  3fv2   8.11   8.57
215  3fv1   9.30   9.19
216  4mgd   4.69   6.31
217  2qe4   7.96   5.72
218  1qkt   9.04   5.61
219  2pog   9.54   5.67
220  2p15  10.30   7.93
221  2y5h   5.79   6.86
222  1lpg   7.09   9.77
223  2xbv   8.43   7.79
224  1z6e   9.72  10.87
225  1mq6  11.15   9.58
226  1nc3   5.00   6.32
227  1nc1   6.12   8.26
228  1y6r  10.11   9.06
229  4f2w  11.30   9.54
230  4f3c  11.82  10.41
231  1uto   2.27   4.01
232  4abg   3.57   4.50
233  3gy4   5.10   4.33
234  1k1i   6.58   6.61
235  1o3f   7.96   6.38
236  2yge   5.06   5.36
237  2fxs   6.06   5.32
238  2iwx   6.68   7.33
239  2wer   7.05   6.15
240  2vw5   8.52   6.66
241  4kzq   6.10   5.58
242  4kzu   6.50   5.97
243  4j21   7.41   6.86
244  4j3l   7.80   6.68
245  3kr8   8.10   6.45
246  2ymd   3.16   5.82
247  2wnc   6.32   6.93
248  2xys   7.42   6.55
249  2wn9   8.52   5.19
250  2x00  11.33   6.93
251  3ozt   4.13   6.34
252  3ozs   5.33   6.37
253  3oe5   6.88   7.20
254  3oe4   7.47   6.70
255  3nw9   9.00   8.77
256  3ao4   2.07   4.21
257  3zt2   2.84   5.11
258  3zsx   3.28   4.92
259  4cig   3.67   6.01
260  3zso   5.12   6.30
261  3n7a   3.70   5.22
262  4ciw   4.82   5.70
263  3n86   5.64   6.64
264  3n76   6.85   5.84
265  2xb8   7.59   6.73
266  4bkt   3.62   5.11
267  4w9c   4.65   5.99
268  4w9l   5.02   6.40
269  4w9i   5.96   6.10
270  4w9h   6.73   6.87
271  3nq9   4.03   4.01
272  3ueu   5.24   4.81
273  3uev   5.89   5.51
274  3uew   6.31   6.09
275  3uex   6.92   6.15
276  3lka   2.82   3.93
277  3ehy   5.85   6.12
278  3tsk   7.17   6.29
279  3nx7   8.10   7.66
280  4gr0   9.55  10.00
281  3dxg   2.40   3.81
282  3d6q   3.76   4.43
283  1w4o   5.22   4.45
284  1o0h   5.92   4.63
285  1u1b   7.80   6.42

Summary of the scoring power: ===================================
The regression equation: logKa = 0.99 + 0.01 * Score
Number of favorable sample (N) = 285
Pearson correlation coefficient (R) = 0.692
Standard deviation in fitting (SD) = 1.57
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("SF_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,285,2);
for(i in 1:285);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("SF-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
