     code  logKa  score
186  3dd0   9.00  10.13
187  2xdl   3.10   5.22
188  3b27   5.16   5.35
189  1yc1   6.17   5.93
190  3rlr   7.52   7.74
191  2yki   9.46   8.83
192  1z95   7.12   9.03
193  3b68   8.40   8.72
194  3b5r   8.77  10.26
195  3b65   9.27   9.01
196  3g0w   9.52   8.92
197  4u4s   2.92   5.75
198  1p1q   4.89   6.24
199  1syi   5.44   7.33
200  1p1n   6.80   6.10
201  2al5   8.40   6.01
202  3g2z   2.36   4.00
203  3g31   2.89   4.36
204  4de2   4.12   4.91
205  4de3   5.52   4.52
206  4de1   5.96   5.33
207  1vso   4.72   5.37
208  4dld   5.82   5.36
209  3gbb   6.90   7.89
210  3fv2   8.11   7.71
211  3fv1   9.30   9.26
212  4mgd   4.69   6.37
213  2qe4   7.96   6.67
214  1qkt   9.04   5.34
215  2pog   9.54   6.71
216  2p15  10.30   6.77
217  2y5h   5.79   6.27
218  1lpg   7.09   8.64
219  2xbv   8.43   8.51
220  1z6e   9.72   8.18
221  1mq6  11.15   8.34
222  1nc3   5.00   7.68
223  1nc1   6.12   7.97
224  1y6r  10.11   9.13
225  4f2w  11.30   8.78
226  4f3c  11.82  10.18
227  1uto   2.27   4.36
228  4abg   3.57   4.48
229  3gy4   5.10   4.84
230  1k1i   6.58   6.05
231  1o3f   7.96   6.51
232  2yge   5.06   5.38
233  2fxs   6.06   5.38
234  2iwx   6.68   6.13
235  2wer   7.05   6.83
236  2vw5   8.52   6.13
237  4kzq   6.10   6.19
238  4kzu   6.50   6.75
239  4j21   7.41   6.92
240  4j3l   7.80   7.54
241  3kr8   8.10   7.10
242  2ymd   3.16   6.00
243  2wnc   6.32   6.58
244  2xys   7.42   6.45
245  2wn9   8.52   6.21
246  2x00  11.33   7.10
247  3ozt   4.13   5.22
248  3ozs   5.33   4.61
249  3oe5   6.88   6.57
250  3oe4   7.47   6.10
251  3nw9   9.00   8.63
252  3ao4   2.07   4.88
253  3zt2   2.84   4.49
254  3zsx   3.28   4.84
255  4cig   3.67   5.14
256  3zso   5.12   5.79
257  3n7a   3.70   5.53
258  4ciw   4.82   5.78
259  3n86   5.64   7.05
260  3n76   6.85   6.72
261  2xb8   7.59   6.97
262  4bkt   3.62   4.53
263  4w9c   4.65   6.07
264  4w9l   5.02   6.70
265  4w9i   5.96   6.05
266  4w9h   6.73   6.57
267  3nq9   4.03   4.35
268  3ueu   5.24   5.28
269  3uev   5.89   5.87
270  3uew   6.31   6.08
271  3uex   6.92   6.10
272  3lka   2.82   5.26
273  3ehy   5.85   6.15
274  3tsk   7.17   6.74
275  3nx7   8.10   7.31
276  4gr0   9.55  10.39
277  3dxg   2.40   3.87
278  3d6q   3.76   4.34
279  1w4o   5.22   4.90
280  1o0h   5.92   5.76
281  1u1b   7.80   4.81

Summary of the scoring power: ===================================
The regression equation: logKa = 1.21 + -1.36 * Score
Number of favorable sample (N) = 281
Pearson correlation coefficient (R) = 0.780
Standard deviation in fitting (SD) = 1.36
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("'X-Score'_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,281,2);
for(i in 1:281);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("'X-Score'-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
