     code  logKa  score
200  3g0w   9.52   9.02
201  4u4s   2.92   5.90
202  1p1q   4.89   5.90
203  1syi   5.44   6.50
204  1p1n   6.80   7.25
205  2al5   8.40   7.11
206  3g2z   2.36   3.38
207  3g31   2.89   4.54
208  4de2   4.12   4.18
209  4de3   5.52   3.41
210  4de1   5.96   4.91
211  1vso   4.72   5.93
212  4dld   5.82   5.54
213  3gbb   6.90   7.52
214  3fv2   8.11   8.51
215  3fv1   9.30  10.47
216  4mgd   4.69   6.36
217  2qe4   7.96   6.97
218  1qkt   9.04   5.85
219  2pog   9.54   5.50
220  2p15  10.30   7.58
221  2y5h   5.79   6.93
222  1lpg   7.09   7.38
223  2xbv   8.43   9.44
224  1z6e   9.72   9.68
225  1mq6  11.15  10.22
226  1nc3   5.00   7.63
227  1nc1   6.12   7.03
228  1y6r  10.11   8.06
229  4f2w  11.30   9.88
230  4f3c  11.82  11.77
231  1uto   2.27   4.11
232  4abg   3.57   4.42
233  3gy4   5.10   4.54
234  1k1i   6.58   7.20
235  1o3f   7.96   6.40
236  2yge   5.06   5.21
237  2fxs   6.06   4.64
238  2iwx   6.68   7.99
239  2wer   7.05   7.09
240  2vw5   8.52   8.01
241  4kzq   6.10   5.30
242  4kzu   6.50   6.80
243  4j21   7.41   5.95
244  4j3l   7.80   7.14
245  3kr8   8.10   6.10
246  2ymd   3.16   4.77
247  2wnc   6.32   6.84
248  2xys   7.42   6.81
249  2wn9   8.52   5.85
250  2x00  11.33   8.40
251  3ozt   4.13   5.04
252  3ozs   5.33   6.56
253  3oe5   6.88   7.99
254  3oe4   7.47   6.92
255  3nw9   9.00   8.76
256  3ao4   2.07   4.61
257  3zt2   2.84   4.37
258  3zsx   3.28   4.18
259  4cig   3.67   5.32
260  3zso   5.12   5.24
261  3n7a   3.70   6.60
262  4ciw   4.82   5.25
263  3n86   5.64   7.92
264  3n76   6.85   6.70
265  2xb8   7.59   7.85
266  4bkt   3.62   4.45
267  4w9c   4.65   5.79
268  4w9l   5.02   6.72
269  4w9i   5.96   5.79
270  4w9h   6.73   6.21
271  3nq9   4.03   3.96
272  3ueu   5.24   5.25
273  3uev   5.89   5.78
274  3uew   6.31   5.84
275  3uex   6.92   6.48
276  3lka   2.82   4.53
277  3ehy   5.85   6.54
278  3tsk   7.17   7.02
279  3nx7   8.10   7.67
280  4gr0   9.55  11.08
281  3dxg   2.40   3.74
282  3d6q   3.76   4.15
283  1w4o   5.22   5.44
284  1o0h   5.92   7.20
285  1u1b   7.80   5.68

Summary of the scoring power: ===================================
The regression equation: logKa = 1.05 + -0.49 * Score
Number of favorable sample (N) = 285
Pearson correlation coefficient (R) = 0.839
Standard deviation in fitting (SD) = 1.18
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("'X-Score'_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,285,2);
for(i in 1:285);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("'X-Score'-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
