     code  logKa  score
199  1syi   5.44   6.89
200  1p1n   6.80   7.17
201  2al5   8.40   6.45
202  3g2z   2.36   3.66
203  3g31   2.89   4.44
204  4de2   4.12   4.42
205  4de3   5.52   3.06
206  4de1   5.96   5.13
207  1vso   4.72   5.71
208  4dld   5.82   6.20
209  3gbb   6.90   7.42
210  3fv2   8.11   8.60
211  3fv1   9.30  10.48
212  4mgd   4.69   6.33
213  2qe4   7.96   6.97
214  1qkt   9.04   5.63
215  2pog   9.54   5.42
216  2p15  10.30   7.38
217  2y5h   5.79   6.68
218  1lpg   7.09   7.14
219  2xbv   8.43   8.74
220  1z6e   9.72   9.44
221  1mq6  11.15   9.94
222  1nc3   5.00   7.83
223  1nc1   6.12   6.81
224  1y6r  10.11   8.32
225  4f2w  11.30  10.20
226  4f3c  11.82  11.49
227  1uto   2.27   4.09
228  4abg   3.57   4.32
229  3gy4   5.10   4.40
230  1k1i   6.58   7.19
231  1o3f   7.96   6.69
232  2yge   5.06   4.34
233  2fxs   6.06   4.53
234  2iwx   6.68   6.84
235  2wer   7.05   7.11
236  2vw5   8.52   7.58
237  4kzq   6.10   5.34
238  4kzu   6.50   6.66
239  4j21   7.41   6.36
240  4j3l   7.80   7.11
241  3kr8   8.10   6.04
242  2ymd   3.16   4.75
243  2wnc   6.32   6.57
244  2xys   7.42   6.82
245  2wn9   8.52   5.81
246  2x00  11.33   8.14
247  3ozt   4.13   5.10
248  3ozs   5.33   5.90
249  3oe5   6.88   7.71
250  3oe4   7.47   6.89
251  3nw9   9.00   8.43
252  3ao4   2.07   4.75
253  3zt2   2.84   4.22
254  3zsx   3.28   4.29
255  4cig   3.67   5.34
256  3zso   5.12   5.29
257  3n7a   3.70   6.43
258  4ciw   4.82   4.96
259  3n86   5.64   7.36
260  3n76   6.85   5.94
261  2xb8   7.59   7.37
262  4bkt   3.62   4.45
263  4w9c   4.65   5.72
264  4w9l   5.02   6.45
265  4w9i   5.96   5.64
266  4w9h   6.73   6.12
267  3nq9   4.03   3.97
268  3ueu   5.24   5.25
269  3uev   5.89   5.82
270  3uew   6.31   6.08
271  3uex   6.92   6.46
272  3lka   2.82   4.64
273  3ehy   5.85   6.36
274  3tsk   7.17   6.34
275  3nx7   8.10   7.66
276  4gr0   9.55  10.70
277  3dxg   2.40   3.86
278  3d6q   3.76   4.12
279  1w4o   5.22   5.32
280  1o0h   5.92   6.73
281  1u1b   7.80   5.11

Summary of the scoring power: ===================================
The regression equation: logKa = 1.10 + -0.67 * Score
Number of favorable sample (N) = 281
Pearson correlation coefficient (R) = 0.837
Standard deviation in fitting (SD) = 1.19
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("'BESTIE'_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,281,2);
for(i in 1:281);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("'BESTIE'-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
