     code  logKa  score
196  1z95   7.12   9.10
197  3b68   8.40   8.30
198  3b5r   8.77  10.70
199  3b65   9.27   9.08
200  3g0w   9.52   9.19
201  4u4s   2.92   5.87
202  1p1q   4.89   6.07
203  1syi   5.44   7.57
204  1p1n   6.80   6.11
205  2al5   8.40   5.66
206  3g2z   2.36   3.87
207  3g31   2.89   4.36
208  4de2   4.12   4.92
209  4de3   5.52   4.19
210  4de1   5.96   5.49
211  1vso   4.72   5.18
212  4dld   5.82   5.70
213  3gbb   6.90   7.78
214  3fv2   8.11   7.84
215  3fv1   9.30   9.62
216  4mgd   4.69   6.44
217  2qe4   7.96   6.62
218  1qkt   9.04   5.53
219  2pog   9.54   6.80
220  2p15  10.30   6.76
221  2y5h   5.79   6.42
222  1lpg   7.09   8.59
223  2xbv   8.43   8.97
224  1z6e   9.72   8.12
225  1mq6  11.15   8.25
226  1nc3   5.00   7.90
227  1nc1   6.12   7.90
228  1y6r  10.11   9.14
229  4f2w  11.30   8.86
230  4f3c  11.82  10.22
231  1uto   2.27   4.31
232  4abg   3.57   4.48
233  3gy4   5.10   5.27
234  1k1i   6.58   5.96
235  1o3f   7.96   6.27
236  2yge   5.06   5.43
237  2fxs   6.06   5.50
238  2iwx   6.68   6.28
239  2wer   7.05   6.71
240  2vw5   8.52   6.34
241  4kzq   6.10   6.15
242  4kzu   6.50   6.73
243  4j21   7.41   6.70
244  4j3l   7.80   7.63
245  3kr8   8.10   7.39
246  2ymd   3.16   6.06
247  2wnc   6.32   6.53
248  2xys   7.42   6.44
249  2wn9   8.52   6.35
250  2x00  11.33   7.10
251  3ozt   4.13   4.75
252  3ozs   5.33   4.12
253  3oe5   6.88   6.73
254  3oe4   7.47   5.82
255  3nw9   9.00   8.41
256  3ao4   2.07   5.00
257  3zt2   2.84   4.52
258  3zsx   3.28   5.02
259  4cig   3.67   5.09
260  3zso   5.12   5.71
261  3n7a   3.70   5.55
262  4ciw   4.82   5.44
263  3n86   5.64   6.89
264  3n76   6.85   6.74
265  2xb8   7.59   6.76
266  4bkt   3.62   4.47
267  4w9c   4.65   6.04
268  4w9l   5.02   6.71
269  4w9i   5.96   6.10
270  4w9h   6.73   6.65
271  3nq9   4.03   4.42
272  3ueu   5.24   5.44
273  3uev   5.89   5.94
274  3uew   6.31   6.10
275  3uex   6.92   6.16
276  3lka   2.82   5.33
277  3ehy   5.85   6.11
278  3tsk   7.17   6.86
279  3nx7   8.10   7.48
280  4gr0   9.55  10.38
281  3dxg   2.40   3.85
282  3d6q   3.76   4.24
283  1w4o   5.22   4.89
284  1o0h   5.92   5.58
285  1u1b   7.80   4.92

Summary of the scoring power: ===================================
The regression equation: logKa = 1.17 + -1.12 * Score
Number of favorable sample (N) = 285
Pearson correlation coefficient (R) = 0.781
Standard deviation in fitting (SD) = 1.36
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("'X-Score'_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,285,2);
for(i in 1:285);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("'X-Score'-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
